script,family,variant,format,file,source,sha256
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-CondensedSemiBold.woff,Organized\01- Woff\Anjoman-NoEn-CondensedSemiBold.woff,ab7dbeafeb0dbe927dbaf5f206a1c6f6b61b181ac5712caf251278eed240675c
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-CondensedSemiBoldItalic.woff,Organized\01- Woff\Anjoman-NoEn-CondensedSemiBoldItalic.woff,c25f29ab0b0124391a5463a55786269859dd3ca7acccc0045b74dc7348713a0b
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-CondensedSuperHeavy.woff,Organized\01- Woff\Anjoman-NoEn-CondensedSuperHeavy.woff,b568183acaaa2def12f22db550681322dbfed7623391fa5f3b470e1bda8923d4
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-CondensedSuperHeavyItalic.woff,Organized\01- Woff\Anjoman-NoEn-CondensedSuperHeavyItalic.woff,5785caa0f97f5539d60205215136517790c7750963efdde783119601e8bf0dce
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-CondensedUltraBold.woff,Organized\01- Woff\Anjoman-NoEn-CondensedUltraBold.woff,4e457dddda3ba4eda3fc0a72917e75b16d311a0a7a33d94e14d9ef5d88b1df19
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-CondensedUltraBoldItalic.woff,Organized\01- Woff\Anjoman-NoEn-CondensedUltraBoldItalic.woff,523e784399a00c7598225d6086160cbd9b04a4ccab043fc219eac33623aed2cf
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-ExtraBold.woff,Organized\01- Woff\Anjoman-NoEn-ExtraBold.woff,5a50861c570021a5ea0c4415ff19287ed4768feb752be62623c13083a23eda57
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-ExtraBoldItalic.woff,Organized\01- Woff\Anjoman-NoEn-ExtraBoldItalic.woff,ac92169f05504695e16777ba314800c8509e2d2c7395d8928f895508434e7126
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-ExtraLightItalic.woff,Organized\01- Woff\Anjoman-NoEn-ExtraLightItalic.woff,47ed63685d4a52b557dc3aef8d14839e5e4038e268bcfb5e92de7d9c6d301a8d
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-HeavyItalic.woff,Organized\01- Woff\Anjoman-NoEn-HeavyItalic.woff,51af59f2c8a76839c14d648832edd469ef1a1b85fef53ef514e74678ddd32c2f
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-Italic.woff,Organized\01- Woff\Anjoman-NoEn-Italic.woff,8dab646ce6ff76cf5b86f42e69f1c2f3f95c88a30bd0b10b3ed9f8b45e1e76e0
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-MediumItalic.woff,Organized\01- Woff\Anjoman-NoEn-MediumItalic.woff,f95d9d42f0efc6ecde125adce66a6345cfd8eea33600ff47223a7d8f7baa4ade
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-SuperHeavy.woff,Organized\01- Woff\Anjoman-NoEn-SuperHeavy.woff,df96850dbbbb8cb3ba630ee53f3df3a983d3304b11e1cf93312a59cf70b6c028
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-SuperHeavyItalic.woff,Organized\01- Woff\Anjoman-NoEn-SuperHeavyItalic.woff,77ae11b9077f9eb41048405f55c601b70556106be85a356d0e02d4ada940bcbc
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-Thin.woff,Organized\01- Woff\Anjoman-NoEn-Thin.woff,5ffa55e5cf34ac1094e1e2e65c8bdfa5fb41bd5fe885ba3ec9b68db73372998c
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-ThinItalic.woff,Organized\01- Woff\Anjoman-NoEn-ThinItalic.woff,d9f29e0288150f491ce9540bab366bc3a3beca7e32e2eff3445b54d55e98bbbb
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-UltraBold.woff,Organized\01- Woff\Anjoman-NoEn-UltraBold.woff,8f3fd3be818fbb4909a47c7ab06d6efe15cf89726646bf2e3f643ca7b23e47e3
03-Mixed,Anjoman-NoEn,02-Static,03-WOFF,03-Mixed\Anjoman-NoEn\02-Static\03-WOFF\Anjoman-NoEn-UltraBoldItalic.woff,Organized\01- Woff\Anjoman-NoEn-UltraBoldItalic.woff,6cc920be10a8ecea07c77fab555daf9f7d838fa089c0136f7496b0829ddd44c0
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-SuperHeavy.woff,Organized\01- Woff\Anjoman-SuperHeavy.woff,c340c538f3f7acb2834dd187eaa10c9388bfc81effdd67a1f67fd35e66688172
03-Mixed,Anjoman,02-Static,03-WOFF,03-Mixed\Anjoman\02-Static\03-WOFF\Anjoman-SuperHeavyItalic.woff,Organized\01- Woff\Anjoman-SuperHeavyItalic.woff,6be2bf7dd00110851e60b912f62654a967c2c8ee8ab5c9cdfa98de908ad8bc21
